Timestamp,Trial,Adj_Sway_X,Adj_Sway_Z,Tilt_X,Tilt_Z,Stability_Score,Sway_Radius,Sway_Jerk,Stroop_Event,Stroop_RT
14.458,1,-0.0004,0.0001,0.00,0.00,100,0.0004,0.0000,None,0.000
14.487,1,-0.0011,0.0002,0.00,0.01,100,0.0011,515.7448,None,0.000
14.514,1,-0.0014,0.0005,0.00,0.02,100,0.0015,1071.7200,None,0.000
14.549,1,-0.0014,0.0007,0.01,0.03,100,0.0016,378.7529,None,0.000
14.578,1,-0.0017,0.0010,0.01,0.04,100,0.0019,1208.5790,None,0.000
14.598,1,-0.0020,0.0012,0.02,0.05,100,0.0023,2214.4330,None,0.000
14.625,1,-0.0023,0.0013,0.02,0.06,100,0.0026,652.8078,None,0.000
14.653,1,-0.0026,0.0013,0.03,0.07,100,0.0029,1551.3630,None,0.000
14.681,1,-0.0032,0.0013,0.04,0.09,100,0.0034,1399.1640,None,0.000
14.709,1,-0.0034,0.0012,0.04,0.10,100,0.0036,457.7461,None,0.000
14.737,1,-0.0035,0.0012,0.05,0.12,100,0.0037,34.5093,None,0.000
14.765,1,-0.0035,0.0012,0.05,0.14,100,0.0037,368.6482,None,0.000
14.792,1,-0.0031,0.0013,0.06,0.15,100,0.0033,1496.6140,None,0.000
14.820,1,-0.0026,0.0012,0.06,0.16,98,0.0029,1468.2240,None,0.000
14.848,1,-0.0020,0.0012,0.06,0.16,98,0.0023,300.2052,None,0.000
14.876,1,-0.0017,0.0012,0.07,0.16,98,0.0021,684.6536,None,0.000
14.904,1,-0.0014,0.0012,0.07,0.16,98,0.0019,31.3357,None,0.000
14.932,1,-0.0012,0.0012,0.07,0.16,98,0.0017,485.3206,None,0.000
14.959,1,-0.0011,0.0012,0.08,0.16,98,0.0017,1101.4750,None,0.000
14.987,1,-0.0012,0.0012,0.08,0.16,98,0.0017,438.0034,None,0.000
15.015,1,-0.0012,0.0011,0.08,0.15,98,0.0016,1651.3200,None,0.000
15.043,1,-0.0014,0.0011,0.08,0.15,98,0.0018,2023.3150,None,0.000
15.071,1,-0.0017,0.0010,0.08,0.15,98,0.0020,373.1615,None,0.000
15.099,1,-0.0016,0.0010,0.09,0.16,98,0.0019,1792.8410,None,0.000
15.127,1,-0.0013,0.0010,0.09,0.15,98,0.0016,342.2473,None,0.000
15.154,1,-0.0012,0.0010,0.09,0.15,98,0.0016,2696.1180,None,0.000
15.182,1,-0.0010,0.0009,0.09,0.15,98,0.0014,1337.6570,None,0.000
15.210,1,-0.0007,0.0009,0.09,0.15,98,0.0011,1899.9590,None,0.000
15.238,1,-0.0001,0.0009,0.09,0.14,98,0.0009,2076.3930,None,0.000
15.266,1,0.0001,0.0008,0.09,0.13,100,0.0008,114.1485,None,0.000
