Timestamp,Trial,Adj_Local_Sway_X,Adj_Local_Sway_Z,Local_Sway_Radius,Local_Sway_Jerk,Orb_Event,Reaction_Time,Movement_Time
14.569,1,0.0001,0.0001,0.0001,0.0000,None,0.000,0.000
14.597,1,0.0004,0.0002,0.0005,52.6354,None,0.000,0.000
14.625,1,0.0005,0.0002,0.0006,74.0368,None,0.000,0.000
14.653,1,0.0005,0.0005,0.0007,119.5262,None,0.000,0.000
14.681,1,0.0000,0.0007,0.0007,123.3113,None,0.000,0.000
14.709,1,-0.0004,0.0008,0.0009,105.5219,None,0.000,0.000
14.729,1,-0.0006,0.0009,0.0011,119.7112,None,0.000,0.000
14.754,1,-0.0007,0.0013,0.0014,42.4959,None,0.000,0.000
14.778,1,-0.0007,0.0017,0.0018,26.3257,None,0.000,0.000
14.806,1,0.0003,0.0023,0.0023,112.7906,None,0.000,0.000
14.834,1,0.0020,0.0028,0.0034,147.8802,None,0.000,0.000
14.854,1,0.0026,0.0029,0.0039,259.6418,None,0.000,0.000
14.880,1,0.0035,0.0029,0.0045,190.3441,None,0.000,0.000
14.904,1,0.0046,0.0032,0.0056,53.8310,None,0.000,0.000
14.932,1,0.0056,0.0037,0.0068,81.8232,None,0.000,0.000
14.959,1,0.0059,0.0042,0.0073,107.5763,None,0.000,0.000
14.987,1,0.0060,0.0047,0.0076,98.0792,None,0.000,0.000
15.015,1,0.0065,0.0053,0.0084,86.2060,None,0.000,0.000
15.043,1,0.0068,0.0061,0.0091,92.4314,None,0.000,0.000
15.071,1,0.0071,0.0070,0.0099,74.7873,None,0.000,0.000
15.099,1,0.0073,0.0076,0.0106,109.1718,None,0.000,0.000
15.126,1,0.0075,0.0081,0.0110,94.8039,None,0.000,0.000
15.154,1,0.0076,0.0086,0.0115,30.6299,None,0.000,0.000
15.182,1,0.0077,0.0093,0.0120,126.4224,None,0.000,0.000
15.210,1,0.0075,0.0098,0.0124,104.9477,None,0.000,0.000
15.238,1,0.0074,0.0102,0.0126,71.3856,None,0.000,0.000
15.266,1,0.0070,0.0106,0.0127,97.1073,None,0.000,0.000
15.295,1,0.0066,0.0110,0.0129,74.9704,Orb Spawned,0.000,0.000
15.321,1,0.0062,0.0114,0.0130,47.2012,None,0.000,0.000
15.349,1,0.0061,0.0116,0.0131,94.3687,None,0.000,0.000
15.377,1,0.0059,0.0118,0.0132,76.2600,None,0.000,0.000
15.405,1,0.0055,0.0120,0.0132,28.6837,None,0.000,0.000
