Participant_ID,Timestamp,Trial,Adj_Sway_X,Adj_Sway_Z,Tilt_X,Tilt_Z,Stability_Score,Sway_Radius,Sway_Jerk,Stroop_Event,Stroop_RT
040,13.069,1,-0.0005,0.0000,0.00,0.00,100,0.0005,0.0000,None,0.000
040,13.097,1,-0.0012,-0.0002,0.00,0.01,100,0.0012,470.8635,None,0.000
040,13.125,1,-0.0015,-0.0003,0.00,0.02,100,0.0015,3615.0010,None,0.000
040,13.152,1,-0.0012,-0.0005,0.00,0.03,100,0.0013,5318.6590,None,0.000
040,13.180,1,-0.0010,-0.0005,359.99,0.03,100,0.0011,2131.0490,None,0.000
040,13.208,1,-0.0003,-0.0004,359.99,0.03,100,0.0005,175.6915,None,0.000
040,13.236,1,-0.0003,-0.0004,359.99,0.03,100,0.0005,1670.4070,None,0.000
040,13.264,1,-0.0001,-0.0003,359.99,0.03,100,0.0003,3367.2780,None,0.000
040,13.292,1,-0.0003,-0.0003,359.99,0.03,100,0.0004,564.2535,None,0.000
040,13.320,1,-0.0004,-0.0002,359.99,0.03,100,0.0004,227.1563,None,0.000
040,13.348,1,-0.0001,-0.0001,359.99,0.03,100,0.0001,881.4199,None,0.000
040,13.375,1,0.0002,0.0002,359.99,0.03,100,0.0003,4667.0250,None,0.000
040,13.403,1,-0.0006,0.0005,359.99,0.03,100,0.0007,7126.8180,None,0.000
040,13.431,1,-0.0016,0.0007,-0.01,0.04,100,0.0018,2730.1880,None,0.000
040,13.459,1,-0.0019,0.0010,0.00,0.05,100,0.0022,10469.7100,None,0.000
040,13.487,1,-0.0023,0.0013,0.01,0.06,100,0.0026,4683.5020,None,0.000
040,13.515,1,-0.0028,0.0016,0.02,0.07,100,0.0032,3317.9180,None,0.000
040,13.542,1,-0.0032,0.0019,0.03,0.09,100,0.0037,5092.4730,None,0.000
040,13.570,1,-0.0022,0.0020,0.04,0.10,100,0.0030,5457.8790,None,0.000
040,13.598,1,-0.0014,0.0021,0.05,0.10,100,0.0025,2374.6630,None,0.000
040,13.626,1,-0.0017,0.0022,0.06,0.11,100,0.0028,2837.4640,None,0.000
040,13.654,1,-0.0014,0.0024,0.07,0.11,100,0.0028,3212.2460,None,0.000
040,13.681,1,-0.0015,0.0026,0.08,0.11,100,0.0030,836.7043,None,0.000
040,13.710,1,-0.0029,0.0028,0.09,0.12,100,0.0040,934.4766,None,0.000
040,13.737,1,-0.0012,0.0029,0.10,0.13,98,0.0031,2125.1900,None,0.000
040,13.765,1,-0.0006,0.0030,0.11,0.12,98,0.0030,2030.3180,None,0.000
040,13.793,1,-0.0007,0.0030,0.12,0.12,98,0.0031,417.9029,None,0.000
040,13.821,1,-0.0005,0.0030,0.13,0.12,98,0.0030,715.6936,None,0.000
040,13.848,1,-0.0005,0.0030,0.14,0.11,98,0.0030,69.2472,None,0.000
040,13.876,1,-0.0007,0.0030,0.15,0.11,98,0.0030,734.1722,None,0.000
040,13.905,1,-0.0011,0.0030,0.16,0.11,98,0.0032,246.6166,None,0.000
040,13.933,1,-0.0016,0.0029,0.17,0.11,98,0.0033,749.3817,None,0.000
040,13.960,1,-0.0015,0.0029,0.18,0.11,98,0.0033,1284.1610,None,0.000
040,13.988,1,-0.0015,0.0028,0.18,0.12,98,0.0032,1204.6840,None,0.000
040,14.015,1,-0.0009,0.0027,0.19,0.12,98,0.0029,96.4860,None,0.000
040,14.044,1,0.0004,0.0026,0.20,0.11,98,0.0027,690.4083,None,0.000
040,14.071,1,-0.0002,0.0025,0.20,0.10,98,0.0025,349.6894,None,0.000
040,14.100,1,-0.0014,0.0024,0.20,0.10,98,0.0028,354.7570,None,0.000
040,14.127,1,-0.0023,0.0022,0.20,0.11,98,0.0032,339.3724,None,0.000
040,14.155,1,-0.0029,0.0021,0.21,0.12,98,0.0036,1275.3710,None,0.000
040,14.183,1,-0.0037,0.0020,0.21,0.14,98,0.0042,2936.3430,None,0.000
040,14.211,1,-0.0042,0.0019,0.21,0.16,97,0.0046,1057.0680,None,0.000
040,14.238,1,-0.0038,0.0017,0.20,0.17,97,0.0042,559.4072,None,0.000
040,14.266,1,-0.0032,0.0016,0.20,0.18,97,0.0036,77.3709,None,0.000
040,14.295,1,-0.0029,0.0015,0.20,0.19,97,0.0033,2929.7890,None,0.000
040,14.322,1,-0.0023,0.0014,0.20,0.20,97,0.0027,2794.2010,None,0.000
040,14.350,1,-0.0019,0.0013,0.19,0.20,97,0.0023,1087.7430,None,0.000
040,14.379,1,-0.0020,0.0012,0.19,0.20,97,0.0024,2626.4230,None,0.000
040,14.406,1,-0.0019,0.0012,0.19,0.20,97,0.0022,758.7780,None,0.000
040,14.433,1,-0.0016,0.0011,0.18,0.20,97,0.0020,590.4662,None,0.000
040,14.461,1,-0.0015,0.0011,0.18,0.20,97,0.0019,342.4481,None,0.000
040,14.491,1,-0.0016,0.0010,0.17,0.19,97,0.0019,1165.6550,None,0.000
040,14.517,1,-0.0016,0.0009,0.17,0.19,97,0.0019,219.8224,None,0.000
040,14.545,1,-0.0016,0.0009,0.17,0.19,97,0.0018,472.2698,None,0.000
040,14.572,1,-0.0014,0.0008,0.16,0.19,98,0.0017,93.6666,None,0.000
040,14.600,1,-0.0014,0.0008,0.16,0.19,98,0.0016,1334.6290,None,0.000
