Participant_ID,Timestamp,Trial,Adj_Sway_X,Adj_Sway_Z,Tilt_X,Tilt_Z,Stability_Score,Sway_Radius,Sway_Jerk,Stroop_Event,Stroop_RT
050,27.668,1,0.0000,0.0000,0.00,0.00,100,0.0001,0.0000,None,0.000
050,27.697,1,-0.0001,-0.0001,0.00,0.00,100,0.0001,103.1658,None,0.000
050,27.724,1,-0.0001,-0.0001,0.00,0.00,100,0.0002,178.7927,None,0.000
050,27.752,1,0.0000,-0.0002,0.00,0.00,100,0.0002,137.2797,None,0.000
050,27.780,1,0.0001,-0.0002,0.00,0.00,100,0.0002,292.4472,None,0.000
050,27.808,1,0.0002,-0.0003,0.00,0.00,100,0.0003,306.6764,None,0.000
050,27.836,1,0.0003,-0.0003,359.99,0.00,100,0.0004,321.1554,None,0.000
050,27.863,1,0.0005,-0.0004,359.99,0.00,100,0.0006,41.7814,None,0.000
050,27.892,1,0.0006,-0.0004,359.99,359.99,100,0.0008,58.0583,None,0.000
050,27.919,1,0.0008,-0.0005,359.99,359.99,100,0.0009,179.9891,None,0.000
050,27.947,1,0.0009,-0.0005,359.99,359.98,100,0.0010,332.9229,None,0.000
050,27.975,1,0.0011,-0.0005,359.98,359.98,100,0.0012,285.3713,None,0.000
050,28.003,1,0.0010,-0.0006,359.98,359.97,100,0.0011,114.8775,None,0.000
050,28.031,1,0.0009,-0.0006,359.98,359.97,100,0.0011,103.8815,None,0.000
050,28.058,1,0.0010,-0.0006,359.98,359.96,100,0.0011,66.7767,None,0.000
050,28.086,1,0.0009,-0.0006,359.97,359.96,100,0.0011,20.2777,None,0.000
050,28.114,1,0.0007,-0.0006,359.97,359.96,100,0.0010,472.6444,None,0.000
050,28.142,1,0.0005,-0.0007,359.97,359.95,100,0.0009,616.1024,None,0.000
050,28.170,1,0.0002,-0.0007,359.97,359.96,100,0.0007,250.7712,None,0.000
050,28.198,1,-0.0001,-0.0007,359.97,359.96,100,0.0007,787.6868,None,0.000
050,28.233,1,-0.0003,-0.0007,359.96,359.96,100,0.0008,989.8478,None,0.000
050,28.254,1,-0.0006,-0.0008,359.96,359.97,100,0.0010,489.1015,None,0.000
050,28.281,1,-0.0010,-0.0008,359.96,359.98,100,0.0012,496.8149,None,0.000
050,28.309,1,-0.0013,-0.0008,359.96,359.99,100,0.0015,1095.8990,None,0.000
050,28.337,1,-0.0015,-0.0008,359.95,0.00,100,0.0017,101.0278,None,0.000
050,28.365,1,-0.0016,-0.0008,359.95,0.01,100,0.0017,337.2970,None,0.000
050,28.393,1,-0.0018,-0.0008,359.95,0.02,100,0.0020,45.5776,None,0.000
050,28.420,1,-0.0019,-0.0008,359.95,0.03,100,0.0021,58.8715,None,0.000
050,28.448,1,-0.0020,-0.0007,359.95,0.04,100,0.0021,126.3992,None,0.000
050,28.476,1,-0.0019,-0.0007,359.95,0.05,100,0.0021,103.9063,None,0.000
050,28.504,1,-0.0018,-0.0007,359.94,0.06,100,0.0019,542.9984,None,0.000
050,28.532,1,-0.0017,-0.0007,359.94,0.07,100,0.0018,492.8123,None,0.000
050,28.560,1,-0.0015,-0.0007,359.94,0.08,100,0.0017,132.4836,None,0.000
050,28.587,1,-0.0014,-0.0007,359.94,0.08,100,0.0016,187.5668,None,0.000
050,28.615,1,-0.0013,-0.0007,359.94,0.08,100,0.0015,149.4171,None,0.000
050,28.643,1,-0.0011,-0.0007,359.94,0.09,100,0.0013,56.9286,None,0.000
050,28.671,1,-0.0009,-0.0007,359.94,0.09,100,0.0012,238.9177,None,0.000
050,28.699,1,-0.0007,-0.0008,359.94,0.09,100,0.0010,55.5853,None,0.000
050,28.727,1,-0.0005,-0.0008,359.94,0.08,100,0.0009,39.6123,None,0.000
050,28.754,1,-0.0003,-0.0008,359.94,0.08,100,0.0009,179.0580,None,0.000
050,28.782,1,-0.0001,-0.0009,359.93,0.08,100,0.0009,154.8113,None,0.000
050,28.810,1,-0.0001,-0.0009,359.93,0.07,100,0.0009,380.0845,None,0.000
050,28.838,1,0.0001,-0.0010,359.93,0.07,100,0.0010,199.2952,None,0.000
050,28.866,1,0.0004,-0.0010,359.93,0.06,100,0.0011,202.5858,None,0.000
050,28.894,1,0.0006,-0.0011,359.93,0.05,100,0.0012,246.7576,None,0.000
050,28.921,1,0.0009,-0.0011,359.92,0.04,100,0.0014,265.1501,None,0.000
050,28.949,1,0.0013,-0.0012,359.92,0.03,100,0.0017,69.4975,None,0.000
050,28.977,1,0.0017,-0.0012,359.92,0.02,100,0.0021,323.6450,None,0.000
050,29.005,1,0.0022,-0.0013,359.92,0.01,100,0.0025,14.4713,None,0.000
050,29.033,1,0.0027,-0.0014,359.91,359.99,100,0.0030,51.2716,None,0.000
050,29.061,1,0.0031,-0.0014,359.91,359.97,100,0.0034,50.4170,None,0.000
050,29.089,1,0.0035,-0.0014,359.91,359.95,100,0.0038,82.5432,None,0.000
050,29.116,1,0.0039,-0.0014,359.90,359.93,100,0.0042,162.2133,None,0.000
050,29.144,1,0.0042,-0.0014,359.90,359.90,100,0.0044,26.5354,None,0.000
050,29.172,1,0.0044,-0.0014,359.90,359.88,100,0.0047,74.8595,None,0.000
050,29.200,1,0.0047,-0.0014,359.89,359.86,98,0.0049,5.6446,None,0.000
050,29.228,1,0.0048,-0.0014,359.89,359.83,98,0.0050,224.0349,None,0.000
050,29.256,1,0.0049,-0.0014,359.89,359.81,98,0.0051,80.7439,None,0.000
050,29.283,1,0.0051,-0.0013,359.89,359.79,98,0.0053,140.4962,None,0.000
