Participant_ID,Timestamp,Trial,Adj_Sway_X,Adj_Sway_Z,Tilt_X,Tilt_Z,Stability_Score,Sway_Radius,Sway_Jerk,Stroop_Event,Stroop_RT
050,51.606,1,0.0003,0.0000,0.00,0.00,100,0.0003,0.0000,None,0.000
050,51.626,1,0.0005,0.0000,0.00,0.00,100,0.0005,189.7360,None,0.000
050,51.647,1,0.0011,0.0001,0.00,359.99,100,0.0011,33.3719,None,0.000
050,51.676,1,0.0015,0.0002,0.00,359.98,100,0.0015,537.8998,None,0.000
050,51.703,1,0.0017,0.0002,0.00,359.97,100,0.0017,687.7548,None,0.000
050,51.731,1,0.0019,0.0003,0.00,359.96,100,0.0019,657.5721,None,0.000
050,51.758,1,0.0019,0.0003,0.01,359.95,100,0.0019,516.0396,None,0.000
050,51.786,1,0.0020,0.0004,0.01,359.94,100,0.0020,354.2997,None,0.000
050,51.814,1,0.0021,0.0004,0.01,359.93,100,0.0021,423.3292,None,0.000
050,51.842,1,0.0023,0.0005,0.01,359.92,100,0.0024,94.8250,None,0.000
050,51.870,1,0.0026,0.0005,0.01,359.91,100,0.0027,237.3606,None,0.000
050,51.898,1,0.0027,0.0005,0.02,359.90,100,0.0028,180.7693,None,0.000
050,51.926,1,0.0027,0.0006,0.02,359.88,100,0.0028,173.6123,None,0.000
050,51.954,1,0.0027,0.0006,0.02,359.87,100,0.0028,397.0309,None,0.000
050,51.981,1,0.0026,0.0006,0.02,359.86,100,0.0026,545.4482,None,0.000
050,52.009,1,0.0023,0.0006,0.03,359.86,100,0.0024,202.7866,None,0.000
050,52.037,1,0.0020,0.0006,0.03,359.85,100,0.0021,73.9052,None,0.000
050,52.065,1,0.0015,0.0007,0.03,359.85,100,0.0017,221.3345,None,0.000
050,52.093,1,0.0011,0.0007,0.03,359.85,100,0.0013,530.5491,None,0.000
050,52.121,1,0.0006,0.0007,0.03,359.86,100,0.0009,700.1548,None,0.000
050,52.149,1,0.0001,0.0007,0.04,359.86,100,0.0007,495.0779,None,0.000
050,52.176,1,-0.0006,0.0007,0.04,359.88,100,0.0009,82.3206,None,0.000
050,52.204,1,-0.0012,0.0007,0.04,359.89,100,0.0014,320.1902,None,0.000
050,52.232,1,-0.0016,0.0007,0.04,359.91,100,0.0018,21.7849,None,0.000
050,52.260,1,-0.0018,0.0007,0.04,359.93,100,0.0020,240.3363,None,0.000
050,52.288,1,-0.0021,0.0007,0.05,359.95,100,0.0023,247.1468,None,0.000
050,52.315,1,-0.0025,0.0008,0.05,359.96,100,0.0027,53.6988,None,0.000
050,52.343,1,-0.0028,0.0008,0.05,359.99,100,0.0029,211.0227,None,0.000
050,52.371,1,-0.0030,0.0008,0.05,0.01,100,0.0031,267.7286,None,0.000
050,52.399,1,-0.0031,0.0008,0.05,0.03,100,0.0032,363.5276,None,0.000
050,52.427,1,-0.0032,0.0007,0.05,0.05,100,0.0033,464.7106,None,0.000
050,52.455,1,-0.0032,0.0007,0.06,0.07,100,0.0033,106.0938,None,0.000
050,52.482,1,-0.0030,0.0007,0.06,0.08,100,0.0031,730.4729,None,0.000
050,52.517,1,-0.0024,0.0007,0.06,0.10,100,0.0026,323.2312,None,0.000
